longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-122.25091976230527,37.062858371373466,32.4595506615601,976.0,75.0,1543.0,824.0,2181.699850182289,NEAR BAY,294282.189776034
-121.09857138718017,38.272820822527564,5.122858284757393,1091.0,413.0,1192.0,798.0,52588.13382098955,<1H OCEAN,244187.66441139916
-121.5360121163772,37.62871196215265,8.919806990636076,4242.0,376.0,2994.0,242.0,88487.65302819497,<1H OCEAN,199767.10366061793
-121.80268303160592,38.017141382329406,45.029155237826885,4464.0,420.0,2682.0,251.0,58836.60676495985,NEAR OCEAN,378747.11156418564
-122.68796271911512,38.815132947852184,30.715023923319908,4565.0,729.0,1218.0,877.0,65621.23830355937,ISLAND,362172.9233315023
-122.6880109593276,37.49858445829775,1.4506555292148526,735.0,277.0,1541.0,5.0,135623.80417406227,NEAR BAY,125028.84199702242
-122.8838327756636,37.82076584607126,5.972105600435573,1793.0,761.0,3237.0,119.0,52238.32005349505,ISLAND,445383.10191804724
-121.26764770845013,38.511102277086096,33.511586686294734,1782.0,676.0,2387.0,801.0,77098.42337397161,ISLAND,272940.63188178453
-121.79776997651358,37.45759633098324,1.2480176084647157,4852.0,394.0,3720.0,374.0,117547.95191117146,<1H OCEAN,383657.41001257044
-121.58385484440791,37.15395981965759,8.879594519457434,219.0,869.0,1389.0,65.0,59481.41734819052,NEAR OCEAN,307917.8821658249
-122.95883101140839,37.57950290582754,27.88795567896272,930.0,457.0,1857.0,146.0,93313.00503418103,INLAND,498961.67716572946
-121.060180295676,37.32244257450801,34.90286468694197,3775.0,920.0,1366.0,224.0,129354.55631201177,NEAR OCEAN,388581.4040174702
-121.33511471839915,38.859395304685144,32.94610171562742,1469.0,192.0,500.0,239.0,142428.0935486463,NEAR OCEAN,368141.2075595566
-122.57532177864344,38.616240759128836,11.98919616356743,840.0,739.0,1681.0,177.0,22061.02213935569,ISLAND,400357.372572838
-122.6363500655858,38.266807513020844,35.896781846029256,216.0,689.0,511.0,779.0,138988.14377422415,NEAR OCEAN,114407.59349681133
-122.63319098029314,38.74292118037543,12.625205287343203,2938.0,99.0,4313.0,853.0,73817.44396193072,NEAR BAY,142045.06692625847
-122.39151551408092,38.60734415379823,16.944585209804117,1250.0,548.0,1325.0,282.0,38736.658244843755,ISLAND,371328.8370006264
-121.95048713673552,37.373140117772074,37.578078850783186,2031.0,978.0,1156.0,63.0,68870.3634357392,NEAR BAY,272291.6692088882
-122.13610996271576,38.785117996979956,32.83201205331352,1112.0,999.0,1828.0,217.0,147004.88629282155,INLAND,389585.88133705244
-122.41754171960392,38.0786844838313,42.61194711421472,1764.0,96.0,3142.0,854.0,73892.71409893045,ISLAND,96312.21383486525
-121.77629421055524,38.614880310328125,33.223031722716826,1181.0,664.0,3487.0,827.0,49312.741543126234,INLAND,291416.60816806764
-122.72101227869592,38.79218259984699,28.847121563438108,4829.0,663.0,1811.0,795.0,95010.12814750886,ISLAND,220469.70450061208
-122.41571070292956,37.63600694994373,5.5900636235765315,612.0,190.0,2924.0,689.0,36021.84281672896,<1H OCEAN,255650.09867675524
-122.26727631341262,37.220103849055356,19.018074349912244,2949.0,736.0,2215.0,461.0,11379.499216299588,NEAR OCEAN,321781.0424326306
