CustomerID,gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,DeviceProtection,PaperlessBilling,PaymentMethod,TotalCharges
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,Female,0,No,No,58,Yes,Yes,No,No,Yes,Mailed check,$1585.25
6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,Male,0,Yes,Yes,64,Yes,No,DSL,Yes,No,Bank transfer (automatic),$720.22
d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,Female,1,No,Yes,11,Yes,Yes,No,Yes,Yes,Credit card (automatic),$646.74
4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,Female,1,Yes,Yes,3,Yes,Yes,DSL,Yes,Yes,Bank transfer (automatic),$1883.51
4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,Female,1,No,Yes,40,No,Yes,No,Yes,Yes,Mailed check,$83.26
ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,Male,1,No,No,6,No,No,Fiber optic,No,Yes,Credit card (automatic),$1534.58
e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,Female,1,Yes,Yes,68,No,No,DSL,No,Yes,Electronic check,$966.19
7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,Female,0,No,Yes,68,No,Yes,DSL,Yes,Yes,Credit card (automatic),$1888.93
2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,Female,1,Yes,No,29,Yes,Yes,DSL,No,Yes,Mailed check,$786.94
19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,Male,0,Yes,No,72,No,No,Fiber optic,Yes,No,Mailed check,$1416.08
4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,Female,1,No,No,5,No,Yes,Fiber optic,Yes,Yes,Credit card (automatic),$139.87
4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,Female,0,Yes,No,18,No,Yes,No,No,Yes,Bank transfer (automatic),$1857.54
6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,Female,1,Yes,No,65,No,No,Fiber optic,Yes,No,Mailed check,$689.09
3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278,Female,1,Yes,Yes,9,No,No,DSL,No,No,Credit card (automatic),$1048.01
8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,Male,0,Yes,Yes,15,No,No,No,No,No,Mailed check,$276.96
e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb,Female,0,Yes,Yes,36,No,No,Fiber optic,No,No,Bank transfer (automatic),$1891.12
b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9,Male,1,Yes,No,31,No,Yes,No,No,No,Bank transfer (automatic),$1345.94
4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3,Male,1,No,Yes,46,Yes,No,No,No,Yes,Credit card (automatic),$107.89
4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a,Male,1,Yes,No,71,No,No,No,No,Yes,Electronic check,$310.41
9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,Female,1,No,Yes,42,Yes,Yes,DSL,No,Yes,Electronic check,$799.67
f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,Male,1,No,Yes,35,No,Yes,DSL,No,No,Bank transfer (automatic),$433.54
6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443,Female,0,Yes,No,25,No,Yes,Fiber optic,No,Yes,Electronic check,$609.25
785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09,Male,0,No,No,9,No,No,DSL,Yes,Yes,Bank transfer (automatic),$1994.98
535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,Male,1,No,Yes,30,Yes,Yes,No,No,No,Electronic check,$1317.3
c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db,Male,0,Yes,Yes,28,Yes,No,No,Yes,No,Bank transfer (automatic),$1844.44
b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569,Male,0,Yes,Yes,4,No,Yes,DSL,No,Yes,Mailed check,$871.6
5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca,Male,0,Yes,Yes,0,Yes,No,No,Yes,No,Credit card (automatic),$1420.56
670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf,Male,1,No,Yes,2,No,Yes,DSL,No,Yes,Credit card (automatic),$919.38
59e19706d51d39f66711c2653cd7eb1291c94d9b55eb14bda74ce4dc636d015a,Male,0,No,No,66,Yes,No,No,No,No,Electronic check,$656.45
35135aaa6cc23891b40cb3f378c53a17a1127210ce60e125ccf03efcfdaec458,Male,1,Yes,No,70,Yes,No,Fiber optic,No,Yes,Credit card (automatic),$1038.35
624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4,Female,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,Yes,Electronic check,$854.62
eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f,Female,1,No,No,14,No,Yes,DSL,Yes,Yes,Bank transfer (automatic),$1961.08
e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b,Male,0,No,Yes,66,Yes,No,DSL,No,No,Mailed check,$992.33
c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894,Male,1,No,Yes,29,Yes,Yes,DSL,Yes,No,Credit card (automatic),$1622.23
86e50149658661312a9e0b35558d84f6c6d3da797f552a9657fe0558ca40cdef,Male,1,No,No,42,No,No,DSL,No,No,Mailed check,$1333.64
9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953,Female,0,Yes,Yes,59,Yes,No,DSL,Yes,No,Credit card (automatic),$959.25
76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269,Male,1,No,No,39,No,No,No,Yes,Yes,Bank transfer (automatic),$948.3
7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25,Female,1,No,Yes,64,No,Yes,Fiber optic,Yes,Yes,Credit card (automatic),$683.78
aea92132c4cbeb263e6ac2bf6c183b5d81737f179f21efdc5863739672f0f470,Female,1,No,Yes,28,Yes,No,No,No,Yes,Credit card (automatic),$213.96
