CustomerID,Age,PaymentMethod,Purchase
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,35,Mailed check,$301.44
6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,-43,Electronic check,$348.92
d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,61,Credit card (automatic),$440.83
4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,51,Mailed check,$314.06
4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,27,Mailed check,$151.34
ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,-53,Electronic check,$57.22
e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,31,Credit card (automatic),$230.98
7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,48,Credit card (automatic),$113.13
2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,-65,Mailed check,$211.17
19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,32,Bank transfer (automatic),$442.22
4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,25,Mailed check,$165.55
4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,-31,Mailed check,$65.43
6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,40,Mailed check,$181.37
3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278,57,Mailed check,$453.88
8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,38,Electronic check,$139.71
e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb,133,Credit card (automatic),$325.61
b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9,162,Electronic check,$5.26
4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3,35,Electronic check,$179.52
4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a,64,Electronic check,$155.87
9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,41,Mailed check,$86.5
f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,43,Bank transfer (automatic),$269.37
6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443,42,Credit card (automatic),$244.99
785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09,62,Bank transfer (automatic),$347.76
535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,58,Electronic check,$138.36
c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db,46,Electronic check,$125.84
b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569,32,Bank transfer (automatic),$88.3
5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca,62,Bank transfer (automatic),$113.29
670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf,18,Bank transfer (automatic),$281.26
59e19706d51d39f66711c2653cd7eb1291c94d9b55eb14bda74ce4dc636d015a,42,Electronic check,$204.9
35135aaa6cc23891b40cb3f378c53a17a1127210ce60e125ccf03efcfdaec458,24,Electronic check,$37.12
