Date,AdWords Ad Clicks,AdWords Ad Conversions,,,,,,,,
1/1/2023,59,5,Mean (Clicks),60.38356164,,,Number of AdWorks Conversions Grouping for 2023,,,
1/2/2023,71,6,Median (Clicks),60,,,,,,
1/3/2023,44,4,Mode (Clicks),78,,Number of Conversions:,6-,6 to 10,11 to 15,15+
1/4/2023,49,5,,,,Number of Occurences:,156,209,0,0
1/5/2023,55,7,Mean (Conversions),5.980821918,,,,,,
1/6/2023,51,4,Median (Conversions),6,,,,,,
1/7/2023,66,7,Mode (Conversions),5,,,,,,
1/8/2023,69,4,,,,,,,,
1/9/2023,82,9,,,,,,,,
1/10/2023,48,5,Standard Deviation (Clicks),14.36822476,,,,,,
1/11/2023,58,7,Standard Deviation (Conversions),1.62810629,,,,,,
1/12/2023,68,8,,,,,,,,
1/13/2023,83,7,,,,,,,,
1/14/2023,78,9,,,,,,,,
1/15/2023,36,3,,,,,,,,
1/16/2023,48,6,,,,,,,,
1/17/2023,52,5,Correlation Coefficient,0.4479932009,,,,,,
1/18/2023,49,6,,,,,,,,
1/19/2023,68,4,,,,,,,,
1/20/2023,81,7,,,,,,,,
1/21/2023,49,3,,,,,,,,
1/22/2023,43,4,,,,,,,,
1/23/2023,63,7,,,,,,,,
1/24/2023,80,6,,,,,,,,
1/25/2023,50,7,,,,,,,,
1/26/2023,53,4,,,,,,,,
1/27/2023,77,6,,,,,,,,
1/28/2023,44,7,,,,,,,,
1/29/2023,78,8,,,,,,,,
1/30/2023,42,5,,,,,,,,
1/31/2023,50,4,,,,,,,,
2/1/2023,72,6,,,,,,,,
2/2/2023,76,6,,,,,,,,
2/3/2023,41,5,,,,,,,,
2/4/2023,49,5,,,,,,,,
2/5/2023,78,9,,,,,,,,
2/6/2023,69,7,,,,,,,,
2/7/2023,58,7,,,,,,,,
2/8/2023,48,4,,,,,,,,
2/9/2023,44,4,,,,,,,,
2/10/2023,43,5,,,,,,,,
2/11/2023,71,8,,,,,,,,
2/12/2023,74,5,,,,,,,,
2/13/2023,74,5,,,,,,,,
2/14/2023,80,8,,,,,,,,
2/15/2023,40,3,,,,,,,,
2/16/2023,63,8,,,,,,,,
2/17/2023,36,7,,,,,,,,
2/18/2023,74,7,,,,,,,,
2/19/2023,62,4,,,,,,,,
2/20/2023,67,7,,,,,,,,
2/21/2023,64,7,,,,,,,,
2/22/2023,61,8,,,,,,,,
2/23/2023,74,5,,,,,,,,
2/24/2023,71,9,,,,,,,,
2/25/2023,52,4,,,,,,,,
2/26/2023,66,7,,,,,,,,
2/27/2023,47,7,,,,,,,,
2/28/2023,32,3,,,,,,,,
3/1/2023,68,4,,,,,,,,
3/2/2023,51,6,,,,,,,,
3/3/2023,42,6,,,,,,,,
3/4/2023,50,4,,,,,,,,
3/5/2023,56,8,,,,,,,,
3/6/2023,71,6,,,,,,,,
3/7/2023,33,5,,,,,,,,
3/8/2023,70,9,,,,,,,,
3/9/2023,33,7,,,,,,,,
3/10/2023,62,5,,,,,,,,
3/11/2023,87,5,,,,,,,,
3/12/2023,65,7,,,,,,,,
3/13/2023,60,4,,,,,,,,
3/14/2023,44,5,,,,,,,,
3/15/2023,66,8,,,,,,,,
3/16/2023,58,4,,,,,,,,
3/17/2023,54,4,,,,,,,,
3/18/2023,70,7,,,,,,,,
3/19/2023,45,4,,,,,,,,
3/20/2023,34,4,,,,,,,,
3/21/2023,41,6,,,,,,,,
3/22/2023,66,4,,,,,,,,
3/23/2023,55,8,,,,,,,,
3/24/2023,78,9,,,,,,,,
3/25/2023,41,3,,,,,,,,
3/26/2023,68,5,,,,,,,,
3/27/2023,74,7,,,,,,,,
3/28/2023,62,5,,,,,,,,
3/29/2023,40,5,,,,,,,,
3/30/2023,67,5,,,,,,,,
3/31/2023,79,9,,,,,,,,
4/1/2023,59,5,,,,,,,,
4/2/2023,73,9,,,,,,,,
4/3/2023,56,7,,,,,,,,
4/4/2023,82,5,,,,,,,,
4/5/2023,62,5,,,,,,,,
4/6/2023,76,6,,,,,,,,
4/7/2023,35,5,,,,,,,,
4/8/2023,61,4,,,,,,,,
4/9/2023,65,7,,,,,,,,
4/10/2023,83,9,,,,,,,,
4/11/2023,35,5,,,,,,,,
4/12/2023,44,3,,,,,,,,
4/13/2023,57,5,,,,,,,,
4/14/2023,76,7,,,,,,,,
4/15/2023,48,7,,,,,,,,
4/16/2023,62,8,,,,,,,,
4/17/2023,45,7,,,,,,,,
4/18/2023,34,4,,,,,,,,
4/19/2023,51,8,,,,,,,,
4/20/2023,85,8,,,,,,,,
4/21/2023,59,4,,,,,,,,
4/22/2023,67,8,,,,,,,,
4/23/2023,77,9,,,,,,,,
4/24/2023,60,7,,,,,,,,
4/25/2023,53,6,,,,,,,,
4/26/2023,84,5,,,,,,,,
4/27/2023,37,3,,,,,,,,
4/28/2023,67,8,,,,,,,,
4/29/2023,57,7,,,,,,,,
4/30/2023,83,8,,,,,,,,
5/1/2023,70,5,,,,,,,,
5/2/2023,67,5,,,,,,,,
5/3/2023,37,5,,,,,,,,
5/4/2023,58,4,,,,,,,,
5/5/2023,68,4,,,,,,,,
5/6/2023,72,9,,,,,,,,
5/7/2023,60,5,,,,,,,,
5/8/2023,41,5,,,,,,,,
5/9/2023,40,5,,,,,,,,
5/10/2023,49,7,,,,,,,,
5/11/2023,52,5,,,,,,,,
5/12/2023,78,7,,,,,,,,
5/13/2023,83,8,,,,,,,,
5/14/2023,38,6,,,,,,,,
5/15/2023,41,7,,,,,,,,
5/16/2023,72,5,,,,,,,,
5/17/2023,54,6,,,,,,,,
5/18/2023,36,4,,,,,,,,
5/19/2023,54,5,,,,,,,,
5/20/2023,55,5,,,,,,,,
5/21/2023,45,6,,,,,,,,
5/22/2023,83,8,,,,,,,,
5/23/2023,55,8,,,,,,,,
5/24/2023,41,6,,,,,,,,
5/25/2023,73,6,,,,,,,,
5/26/2023,77,5,,,,,,,,
5/27/2023,88,5,,,,,,,,
5/28/2023,63,4,,,,,,,,
5/29/2023,60,7,,,,,,,,
5/30/2023,76,8,,,,,,,,
5/31/2023,48,4,,,,,,,,
6/1/2023,58,6,,,,,,,,
6/2/2023,45,5,,,,,,,,
6/3/2023,56,7,,,,,,,,
6/4/2023,73,5,,,,,,,,
6/5/2023,48,7,,,,,,,,
6/6/2023,71,5,,,,,,,,
6/7/2023,70,5,,,,,,,,
6/8/2023,60,5,,,,,,,,
6/9/2023,56,7,,,,,,,,
6/10/2023,85,5,,,,,,,,
6/11/2023,53,7,,,,,,,,
6/12/2023,80,6,,,,,,,,
6/13/2023,54,8,,,,,,,,
6/14/2023,59,4,,,,,,,,
6/15/2023,40,4,,,,,,,,
6/16/2023,75,9,,,,,,,,
6/17/2023,53,8,,,,,,,,
6/18/2023,84,7,,,,,,,,
6/19/2023,78,9,,,,,,,,
6/20/2023,76,6,,,,,,,,
6/21/2023,67,8,,,,,,,,
6/22/2023,80,6,,,,,,,,
6/23/2023,52,5,,,,,,,,
6/24/2023,50,7,,,,,,,,
6/25/2023,71,5,,,,,,,,
6/26/2023,50,4,,,,,,,,
6/27/2023,81,9,,,,,,,,
6/28/2023,65,5,,,,,,,,
6/29/2023,48,7,,,,,,,,
6/30/2023,54,6,,,,,,,,
7/1/2023,75,7,,,,,,,,
7/2/2023,74,8,,,,,,,,
7/3/2023,85,6,,,,,,,,
7/4/2023,54,6,,,,,,,,
7/5/2023,43,7,,,,,,,,
7/6/2023,54,6,,,,,,,,
7/7/2023,54,8,,,,,,,,
7/8/2023,55,5,,,,,,,,
7/9/2023,57,7,,,,,,,,
7/10/2023,49,4,,,,,,,,
7/11/2023,79,8,,,,,,,,
7/12/2023,80,7,,,,,,,,
7/13/2023,47,3,,,,,,,,
7/14/2023,73,5,,,,,,,,
7/15/2023,46,4,,,,,,,,
7/16/2023,67,7,,,,,,,,
7/17/2023,72,6,,,,,,,,
7/18/2023,81,9,,,,,,,,
7/19/2023,38,7,,,,,,,,
