Facebook Ad Clicks,Facebook Ad Conversions,,,,,
18,8,,,,Hypothesis: How many Facebook Ad Conversions can I expect given a certain number of Facebook Ad Clicks?,
36,12,,,,,
26,8,,,,,
27,9,,,,,
15,7,,,,Variable Requirements: Ensure both variables are quantitative:,
37,10,,,,,
49,15,,,,Quantitative Independent Variable:,Facebook Ad Clicks
49,12,,,,Quantitative Dependent Variable:,Facebook Ad Conversions
36,12,,,,,
41,13,,,,,
51,14,,,,Check Assumptions: Verify that your data meets the assumptions for Simple Linear Regression:,
56,14,,,,,
48,12,,,,Linear Relationship: Plot your data to see if a linear relationship exists.,
42,11,,,,,
56,12,,,,Normality of Residuals: Analyze residuals once the model is run.,
31,7,,,,,
28,10,,,,Homoscedasticity: Check for constant variance in residuals,
40,13,,,,,
30,8,,,,,
50,13,,,,,
33,8,,,,,
46,12,,,,,
28,10,,,,,
43,12,,,,,
52,13,,,,,
24,6,,,,,
45,11,,,,,
55,13,,,,,
43,11,,,,,
28,11,,,,,
31,7,,,,,
25,9,,,,,
26,7,,,,,
25,10,,,,,
56,13,,,,,
41,11,,,,,
34,9,,,,,
31,10,,,,,
41,13,,,,,
41,13,,,,,
35,12,,,,,
29,9,,,,,
54,16,,,,,
40,10,,,,,
31,8,,,,,
42,10,,,,,
26,7,,,,,
31,10,,,,,
31,9,,,,,
48,11,,,,,
34,11,,,,,
32,8,,,,,
48,11,,,,,
28,7,,,,,
51,14,,,,,
44,11,,,,,
35,12,,,,,
55,15,,,,,
54,12,,,,,
46,12,,,,,
57,15,,,,,
28,8,,,,,
40,11,,,,,
43,13,,,,,
51,14,,,,,
44,13,,,,,
24,10,,,,,
29,9,,,,,
22,5,,,,,
59,15,,,,,
43,10,,,,,
61,17,,,,,
54,15,,,,,
39,9,,,,,
33,8,,,,,
32,9,,,,,
59,17,,,,,
28,10,,,,,
37,12,,,,,
48,11,,,,,
35,11,,,,,
36,11,,,,,
54,12,,,,,
41,10,,,,,
40,13,,,,,
36,9,,,,,
39,10,,,,,
25,6,,,,,
41,11,,,,,
42,11,,,,,
30,7,,,,,
39,10,,,,,
34,12,,,,,
52,14,,,,,
53,13,,,,,
35,9,,,,,
44,10,,,,,
26,6,,,,,
40,9,,,,,
57,16,,,,,
36,10,,,,,
22,6,,,,,
43,13,,,,,
57,12,,,,,
39,13,,,,,
36,10,,,,,
58,16,,,,,
36,10,,,,,
33,12,,,,,
43,12,,,,,
62,16,,,,,
45,10,,,,,
51,14,,,,,
19,8,,,,,
39,11,,,,,
59,15,,,,,
53,16,,,,,
36,11,,,,,
31,7,,,,,
21,6,,,,,
52,11,,,,,
54,15,,,,,
35,8,,,,,
48,12,,,,,
53,16,,,,,
25,7,,,,,
25,7,,,,,
58,17,,,,,
41,9,,,,,
47,13,,,,,
34,10,,,,,
42,13,,,,,
33,9,,,,,
54,12,,,,,
44,12,,,,,
50,15,,,,,
59,17,,,,,
23,9,,,,,
59,13,,,,,
36,10,,,,,
42,10,,,,,
29,7,,,,,
26,7,,,,,
23,6,,,,,
48,13,,,,,
46,14,,,,,
37,12,,,,,
36,9,,,,,
37,8,,,,,
41,11,,,,,
23,9,,,,,
40,13,,,,,
35,11,,,,,
61,16,,,,,
36,9,,,,,
48,13,,,,,
22,7,,,,,
46,14,,,,,
56,15,,,,,
35,8,,,,,
29,11,,,,,
44,10,,,,,
40,13,,,,,
50,13,,,,,
31,9,,,,,
33,9,,,,,
