Data Before Square Root Transformation,Data After Square Root Transformation
0.46926809,0.6850314518
3.010121431,1.734970153
1.316745694,1.1474954
0.9129425538,0.9554802739
0.1696248705,0.4118553999
0.1695962919,0.4118207036
0.05983876861,0.2446196407
2.011230864,1.418178714
0.9190821536,0.9586877248
1.231250062,1.109617079
0.020799308,0.1442196519
3.503557475,1.871779227
1.786429543,1.336573808
0.2386876252,0.4885566756
0.2006789887,0.4479720848
0.2026114228,0.4501237861
0.3627537295,0.6022904029
0.7439278309,0.8625125106
0.5655370668,0.7520219856
0.3442229926,0.5867052007
0.9463708739,0.9728159507
0.1502345287,0.3876009916
0.345515512,0.5878056754
0.4562772182,0.6754829518
0.6089346879,0.7803426734
1.537936011,1.240135481
0.2227358621,0.4719490037
0.722029155,0.8497229872
0.8975047213,0.9473672579
0.04756384976,0.2180913794
0.9353330206,0.9671261658
0.186961252,0.4323901617
0.06726393088,0.259352908
2.973687794,1.724438399
3.370630342,1.835927652
1.652331573,1.285430501
0.36328786,0.6027336559
0.102777315,0.3205890126
1.152750763,1.073662313
0.5800908426,0.7616369493
0.130152234,0.3607661763
0.6835472281,0.8267691504
0.03499372144,0.1870660884
2.400422887,1.549329819
0.2994577768,0.5472273539
1.086255799,1.042235961
0.3735465817,0.6111845725
0.7341108959,0.856802717
0.791223798,0.8895076155
0.2043885995,0.4520935738
3.492807133,1.86890533
1.492245377,1.221574958
2.805094419,1.67484161
2.252151998,1.500717161
0.9110544124,0.9544917037
2.549435379,1.596695143
0.09265545895,0.3043935922
0.2181346946,0.467048921
0.04628196569,0.2151324376
0.3935320868,0.6273213585
0.4921302918,0.7015199867
0.3165604432,0.5626370439
1.764557865,1.328366616
0.4412269995,0.6642491999
0.3298028401,0.5742846334
0.7824070832,0.8845377794
0.1518981478,0.3897411292
1.620483596,1.272982166
0.07747586881,0.2783448739
4.33414634,2.081861268
1.479483776,1.216340321
0.2215394405,0.4706797643
0.005537420376,0.07441384532
1.689896777,1.299960298
1.227095907,1.107743611
1.305662909,1.142656076
1.475214526,1.214584096
0.07692926551,0.2773612545
0.4438926724,0.6662527091
0.1231501046,0.3509274919
1.988529572,1.410152322
0.9763011917,0.9880795473
0.4018188013,0.6338917899
0.0656680658,0.2562578112
0.3724883504,0.610318237
0.3933142132,0.6271476805
1.307875784,1.14362397
1.014889359,1.007417172
2.182251912,1.477244703
0.6390661334,0.7994161203
0.1273723936,0.356892692
1.249126344,1.11764321
1.430392753,1.195990281
0.8238874949,0.9076824857
1.473889967,1.214038701
0.6808147315,0.8251149808
0.7396788388,0.8600458353
0.5578141939,0.7468695963
0.02574777399,0.1604611292
0.1141674352,0.3378867195
