Selling  Price (in $),Status,Over 3 bedrooms,,
"209,164.00",Pending State,Yes,Mean,"298,380.35"
"281,528.00",Pending State,Yes,Median,"290,088.00"
"104,396.00",Sold,No,Mode,314967
"386,939.00",For Sale,Yes,,
"423,951.00",Pending State,No,Standard Deviation,112003.3234
"230,030.00",Pending State,Yes,Variance,12544744458
"284,639.00",For Sale,No,,
"456,422.00",For Sale,Yes,Confidence Interval,
"484,149.00",For Sale,Yes,Lower Interval,"276,269.49"
"393,658.00",Sold,Yes,Upper Interval,"320,491.21"
"346,884.00",Sold,Yes,,
"185,595.00",For Sale,Yes,,
"197,287.00",Pending State,No,Sample Size,101
"236,060.00",Sold,No,Critical Value,1.983971519
"237,284.00",Pending State,Yes,Margin of Error,22110.86107
"257,705.00",For Sale,Yes,,
"267,279.00",For Sale,Yes,Confidence Interval,21999.54022
"308,563.00",For Sale,No,Lower Limit,"276,380.81"
"221,202.00",Sold,No,Upper Limit,"320,379.89"
"133,219.00",Sold,No,,"[276,380.81, 320,379.89]"
"242,829.00",Pending State,Yes,,
"146,754.00",Pending State,No,,
"294,977.00",Sold,Yes,,
"388,598.00",For Sale,Yes,,
"103,041.00",Pending State,No,,
"324,433.00",For Sale,Yes,,
"398,106.00",Pending State,Yes,,
"450,262.00",For Sale,No,,
"447,460.00",Sold,No,,
"279,163.00",For Sale,Yes,,
"276,572.00",Pending State,Yes,,
"342,244.00",For Sale,No,,
"469,754.00",Sold,Yes,,
"441,342.00",Pending State,No,,
"463,329.00",For Sale,Yes,,
"216,263.00",Sold,No,,
"198,839.00",For Sale,No,,
"470,826.00",Pending State,No,,
"435,960.00",Sold,Yes,,
"379,179.00",Sold,Yes,,
"377,693.00",Pending State,No,,
"442,282.00",Pending State,Yes,,
"147,743.00",Pending State,Yes,,
"136,937.00",Sold,No,,
"468,409.00",Pending State,No,,
"289,040.00",Pending State,Yes,,
"487,635.00",Sold,Yes,,
"153,537.00",For Sale,Yes,,
"414,622.00",Pending State,No,,
"369,909.00",For Sale,No,,
"179,195.00",For Sale,Yes,,
"112,828.00",Sold,No,,
"193,976.00",Pending State,No,,
"369,280.00",Sold,Yes,,
"324,365.00",Sold,No,,
"228,929.00",Sold,Yes,,
"267,637.00",Pending State,Yes,,
"333,234.00",Sold,Yes,,
"108,163.00",Pending State,Yes,,
"432,375.00",Pending State,No,,
"351,974.00",Pending State,No,,
"278,608.00",For Sale,Yes,,
"250,016.00",Pending State,No,,
"448,422.00",For Sale,Yes,,
"404,677.00",For Sale,No,,
"335,798.00",Pending State,Yes,,
"494,373.00",Sold,No,,
"273,693.00",Sold,No,,
"211,617.00",Sold,No,,
"408,636.00",Pending State,Yes,,
"304,847.00",For Sale,Yes,,
"238,621.00",Pending State,Yes,,
"167,726.00",Sold,Yes,,
"244,258.00",Sold,Yes,,
"449,026.00",For Sale,No,,
"290,088.00",Pending State,No,,
"144,877.00",Pending State,Yes,,
"140,735.00",For Sale,Yes,,
"282,717.00",Pending State,Yes,,
"295,552.00",Pending State,No,,
"374,823.00",Pending State,No,,
"398,978.00",For Sale,No,,
"281,454.00",Sold,Yes,,
"152,329.00",Sold,No,,
"405,607.00",Sold,Yes,,
"178,315.00",Pending State,Yes,,
"402,064.00",For Sale,No,,
"136,099.00",Sold,No,,
"350,567.00",For Sale,No,,
"342,402.00",Pending State,No,,
"211,391.00",Pending State,No,,
"136,279.00",For Sale,No,,
"189,208.00",Pending State,No,,
"489,451.00",Pending State,Yes,,
"128,416.00",For Sale,No,,
"367,584.00",Sold,No,,
"332,520.00",Sold,No,,
"107,040.00",Pending State,No,,
"252,019.00",For Sale,No,,
"314,967.00",For Sale,Yes,,
"314,967.00",Sold,No,,
